Track ID,Track Name,Artist Name,Year,Scale,BPM,Artwork
3DtnMeWOiJ1uNF5h6yUQjG,"Dippam Dappam (Telugu) [From ""Kanmani Rambo Khatija""]",Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b2731f8a494301b786e733aaceab
0J5jzXOg7dzbkOrIgZjo43,Arabic Kuthu - Halamithi Habibo,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273013d4c16601d3664ade27872
7L4L0LW4US8DrLx2L67I0F,Beast Mode,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273013d4c16601d3664ade27872
3LEMmV0BgtM7TaJk40PFZU,Dippam Dappam,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273958cc3cdf78778af4c9cacbc
4HDtgSrZhO7Rbk7J0Iy4cV,"Porata Simham (EDM Version) [From ""Vikram Hitlist""]",Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b2739d6b322220404366fc67bd4c
48pWf7gVrD3ftzkyzUJqVu,Shield Fight - Background Score,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273b0fe43ced529df9e3892ddc5
5dOQcfokQavdnjonIy0qyJ,Mathuga Mathuga,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b27336e9eba0cbd35fc9ba3acf79
4XlAwjHZUbQrgUJcfrCuMQ,Marriage At 2AM - Background Score,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273b0fe43ced529df9e3892ddc5
3Qm35fbJSuclok2fQB2rzZ,Moaning Theme - Background Score,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273b0fe43ced529df9e3892ddc5
7L8xOpcR5CBkHar4V82baG,Porata Simham,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b27336e9eba0cbd35fc9ba3acf79
7mhJ08BCG6goQ8mPpk9TuZ,Two Two Two,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273958cc3cdf78778af4c9cacbc
4bbeXHwW95npFQuPa2D8e1,"Mathuga Mathuga (From ""Vikram Hitlist"")",Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b27389158c8707863903d9411597
0kRWc88xMinBmfsXHL9lfH,Rise of Veera,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273b70db7d04a7d93706b5607e8
5C8b6OQlsIOtpbf6DCBkKk,Sanchari,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b2731dea2aa9556b19a62d38eb1c
6lQ7RWoymp53169COo4fLN,Naan Pizhai,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273958cc3cdf78778af4c9cacbc
4lS1ldfypKYEwKqbu3a04x,Jalabulajangu,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b27356c447fa32d5751f1dadfc8d
6jiMGpaN4Sx7xYlSQqfjnz,"Beast Announcement Theme (From ""Beast"")",Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b273be0caba0e170ba4dd7ee6ffe
4n7h0fD56BijrFnxNJ2ifV,Bae,Anirudh Ravichander,2022,N/A,N/A,https://i.scdn.co/image/ab67616d0000b27356c447fa32d5751f1dadfc8d
